C:\Users\parke\anaconda3\python.exe C:/Users/parke/Documents/GitHub/EconCapstone/get_wallet_transaction_summary.py
0x30bbcd8b4d66bf7cc1b96f3a8cbe8bd33b434fc9 is a large firm
0x8ccdb61bb46b3ff65166b2e82fcc46c33db10197 is a large firm
0x2217173e4367145ff967ad9cf88e17df056ddf51 is a large firm
0x41015996c30370e4f05c0c68af14dbda23c955fe is a large firm
0x2044daed98f09499d5c972d50d6d43cdd35dab41 is a large firm
0x22e68811a2ec9727dab80e7a38b89995728e67d6 is a large firm
0x1ae768dd9644b6c994786aaa89c30968b84a7e48 is a large firm
0x970d4f21c24665d60cabfcbc4a07ff826dc2997b is a large firm
0x546b5cd2be60502caa8f8ecb47de5a4a4d24b2ad is a large firm
0xaf68fad1817c94e47937fb336b0b70a6b41c05ad is a large firm
0x70c8209d64702d22148334ada3b7fe10a46171bb is a large firm
0x63e59380a6c6d69f776f9a2a83f89e6cc0aa44af is a large firm
0xf8fdbafb59622156936971424b284af3d2844d6e is a large firm
0xa2dc6f18e6a502141a91f8262a798bb744cba4ef is a large firm
0x6f7712355787d2fe54f877d0a27457ef8c348776 is a large firm
0x867a5221564160c128f2b0ec6b22216c380ddc76 is a large firm
0xfc642ef1292630b1aedcde95ba3426830d7e888e is a large firm
0xf94658327de3da73b83cd2abd1af3c0d2e4e6ab7 is a large firm
0x6ecdde3f544b8295ae73175d73d80b20fa010787 is a large firm
0xee94970c4a0b3c708f35d28b2724ee055a00c44b is a large firm
0xde3d016b33cdfe196ad8a1413e098c1a0363c595 is a large firm
0xcaba65d2c84c19598ed28a62e9d0380eb7dde0c4 is a large firm
0x511b1f7b5f06d5ecc16cf616798ad724acc07830 is a large firm
0x98a7cff833c9b018501e28fccdcfa4bcc36216e0 is a large firm
0x746232367ffa991d235bad5325738b4d6aad862e is a large firm
0x69839a5c0d6a611c89c3def489bfb364ae6c9aa9 is a large firm
0x665672e2381b71e0a24b311864fe135375fd1b8a is a large firm
0x64a8c3bae35e0be376c25ed6032139ce8a30d9df is a large firm
0xed64d32b40177a3425084d092948683acfaba4e8 is a large firm
0x3147125435ac0e6edaa5c92ca558b59d01648913 is a large firm
0x2aa47c0f9dd34f2e01af4c8ee490f31fc2c9cdf3 is a large firm
0x8768b8ba9bc3e2c3e1b14010ebcfcce7304b9094 is a large firm
0x0bbbbb9b8b6c380096ccf271b289a4a47ee716f6 is a large firm
0x74a59770c729a374115154ba8d8b9dddc27b4379 is a large firm
0x5ac8fed326eac2f87b76a9cbc3ebfc035d573805 is a large firm
