to_address, from_address, block_number, datetime, amount_ether
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 5933887, '2018-07-09 08:37:48', 0.5024063542478362)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 5938829, '2018-07-10 05:01:19', 0.5022920083781767)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 5943533, '2018-07-11 00:37:53', 0.5018995380872188)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 5948116, '2018-07-11 18:56:19', 0.5000573433701577)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 5952507, '2018-07-12 12:32:14', 0.5001953018877118)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 5957128, '2018-07-13 07:04:33', 0.5015137212649149)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 5961514, '2018-07-14 00:37:16', 0.5009578147676809)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 5965663, '2018-07-14 17:20:26', 0.5013908083802284)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 5969742, '2018-07-15 09:21:50', 0.5019254023135019)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 5974479, '2018-07-16 04:33:23', 0.501451515305994)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 5979309, '2018-07-17 00:23:38', 0.5009307572260655)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 5983926, '2018-07-17 19:17:54', 0.5017246230419814)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 5988641, '2018-07-18 14:53:33', 0.500301437047067)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 5993116, '2018-07-19 09:18:20', 0.5002298389885398)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 5997644, '2018-07-20 03:56:23', 0.5014713946784816)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6002034, '2018-07-20 21:55:57', 0.5018477078517155)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6006584, '2018-07-21 16:14:00', 0.501256768463807)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6011012, '2018-07-22 10:08:56', 0.5004250458799568)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6015556, '2018-07-23 04:30:48', 0.5015521195672863)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6019984, '2018-07-23 22:42:14', 0.5014971345125441)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6024484, '2018-07-24 17:09:58', 0.5029078690406555)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6029139, '2018-07-25 12:16:52', 0.5010912705948183)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6033660, '2018-07-26 06:47:56', 0.5006324963097036)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6038269, '2018-07-27 01:32:11', 0.501339899670689)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6043088, '2018-07-27 20:57:45', 0.5015907057235731)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6048165, '2018-07-28 17:18:06', 0.5035612796273449)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6052796, '2018-07-29 11:45:13', 0.5002366366237809)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6057616, '2018-07-30 07:08:24', 0.5042859773788884)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6062264, '2018-07-31 02:11:07', 0.5029949638719717)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6067096, '2018-07-31 21:32:21', 0.5013517183323999)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6071593, '2018-08-01 16:02:18', 0.500520950142727)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6076056, '2018-08-02 10:18:42', 0.5001857443412765)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6080739, '2018-08-03 05:26:40', 0.5001689100398738)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6085437, '2018-08-04 00:13:10', 0.5021667580205774)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6090282, '2018-08-04 19:45:26', 0.5016863650424148)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6094853, '2018-08-05 14:18:10', 0.5011013122609134)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6099531, '2018-08-06 09:07:24', 0.5003043534169692)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6104010, '2018-08-07 03:22:01', 0.5006788027154018)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6108288, '2018-08-07 20:43:39', 0.5001245170648494)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6112701, '2018-08-08 14:33:11', 0.5039171709613253)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6116923, '2018-08-09 07:51:12', 0.5044173779034071)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6121466, '2018-08-10 02:12:55', 0.5020622036763608)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6126218, '2018-08-10 21:17:32', 0.5029719954116428)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6130823, '2018-08-11 15:54:00', 0.5021526257792998)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0x65871a885dd5582486fb94be41c9c13a9b39290a', 6133314, '2018-08-12 02:20:30', 30.0)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6135562, '2018-08-12 11:32:48', 0.5007438819133)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6140354, '2018-08-13 07:03:34', 0.5022612297316538)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6145014, '2018-08-14 01:57:53', 0.5029248587585737)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6149678, '2018-08-14 20:42:23', 0.5039087127472295)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6154436, '2018-08-15 15:51:36', 0.5021183812175126)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6158942, '2018-08-16 10:13:24', 0.500715519754301)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6163105, '2018-08-17 03:04:29', 0.5025233719800647)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6167530, '2018-08-17 21:17:35', 0.5009234252792464)
('0xdd619667be721974a21b22bf5e7d54e51adf9c01', '0xea674fdde714fd979de3edf0f56aa9716b898ec8', 6172791, '2018-08-18 18:40:24', 0.5033113673762809)
